familyName,givenName,gender,affiliatedTo,dbpediaURI,yagoURI
Amodei,Mark,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Mark_Amodei,http://yago-knowledge.org/resource/Mark_Amodei
Kim,Jay,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Jay_Kim,http://yago-knowledge.org/resource/Jay_Kim
Sherwood,Don,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Don_Sherwood,http://yago-knowledge.org/resource/Don_Sherwood
Brown,Henry,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),"http://dbpedia.org/resource/Henry_E._Brown,_Jr.","http://yago-knowledge.org/resource/Henry_E._Brown,_Jr."
Walsh,James,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/James_T._Walsh,http://yago-knowledge.org/resource/James_T._Walsh
Davis,Jo,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Jo_Ann_Davis,http://yago-knowledge.org/resource/Jo_Ann_Davis
Barton,Joe,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Joe_Barton,http://yago-knowledge.org/resource/Joe_Barton
Knollenberg,Joe,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Joe_Knollenberg,http://yago-knowledge.org/resource/Joe_Knollenberg
Peterson,John,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/John_E._Peterson,http://yago-knowledge.org/resource/John_E._Peterson
Walker,Robert,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Robert_Smith_Walker,http://yago-knowledge.org/resource/Robert_Smith_Walker
Hutchinson,Tim,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Tim_Hutchinson,http://yago-knowledge.org/resource/Tim_Hutchinson
Lungren,Dan,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Dan_Lungren,http://yago-knowledge.org/resource/Dan_Lungren
